hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9138083584,-0.0145716985,1.0011502001,0.9955465765,0.9944028142
2455153.9138446408,-0.0145585365,1.0011486911,0.9955268223,0.9943845816
2455153.9138809228,-0.0145453746,1.0011471821,0.9955070754,0.9943663561
2455153.9139172053,-0.0145322125,1.0011456731,0.9954873351,0.9943481373
2455153.9139534873,-0.0145190507,1.0011441640,0.9954676024,0.9943299258
2455153.9139897698,-0.0145058886,1.0011426550,0.9954478767,0.9943117214
2455153.9140260518,-0.0144927268,1.0011411460,0.9954281587,0.9942935246
2455153.9140623342,-0.0144795647,1.0011396370,0.9954084480,0.9942753351
2455153.9140986162,-0.0144664029,1.0011381280,0.9953887455,0.9942571536
2455153.9141348987,-0.0144532408,1.0011366190,0.9953690505,0.9942389797
2455153.9141711807,-0.0144400790,1.0011351099,0.9953493639,0.9942208140
2455153.9142074627,-0.0144269171,1.0011336009,0.9953296855,0.9942026564
2455153.9142437452,-0.0144137551,1.0011320919,0.9953100152,0.9941845070
2455153.9142800272,-0.0144005932,1.0011305829,0.9952903537,0.9941663662
2455153.9143163096,-0.0143874312,1.0011290739,0.9952707006,0.9941482338
2455153.9143525916,-0.0143742693,1.0011275649,0.9952510565,0.9941301103
2455153.9143888741,-0.0143611073,1.0011260559,0.9952314211,0.9941119955
2455153.9144251561,-0.0143479454,1.0011245468,0.9952117951,0.9940938899
2455153.9144614385,-0.0143347834,1.0011230378,0.9951921780,0.9940757933
2455153.9144977205,-0.0143216215,1.0011215288,0.9951725706,0.9940577062
2455153.9145340030,-0.0143084595,1.0011200198,0.9951529724,0.9940396284
2455153.9145702850,-0.0142952976,1.0011185108,0.9951333842,0.9940215604
2455153.9146065675,-0.0142821356,1.0011170018,0.9951138056,0.9940035019
2455153.9146428495,-0.0142689737,1.0011154928,0.9950942371,0.9939854536
2455153.9146791319,-0.0142558117,1.0011139837,0.9950746786,0.9939674150
2455153.9147154139,-0.0142426498,1.0011124747,0.9950551305,0.9939493869
2455153.9147516964,-0.0142294878,1.0011109657,0.9950355926,0.9939313689
2455153.9147879784,-0.0142163259,1.0011094567,0.9950160654,0.9939133616
2455153.9148242609,-0.0142031639,1.0011079477,0.9949965487,0.9938953647
