2455153.9086200  0.00342 0.00150
2455153.9091639  0.00074 0.00148
2455153.9108073  0.00429 0.00150
2455153.9113513  0.00134 0.00148
2455153.9118952  0.00455 0.00148
2455153.9124391  0.00352 0.00148
2455153.9129831  0.00277 0.00148
2455153.9135270  0.00237 0.00148
2455153.9140825  0.00377 0.00148
2455153.9146380  0.00251 0.00148
2455153.9151820  0.00413 0.00148
2455153.9157259  0.00445 0.00148
2455153.9162698  0.00695 0.00148
2455153.9168138  0.00591 0.00148
2455153.9173577  0.00888 0.00148
2455153.9179016  0.00887 0.00148
2455153.9184571  0.00666 0.00148
2455153.9190011  0.00643 0.00148
2455153.9195566  0.00629 0.00148
2455153.9201005  0.00895 0.00148
2455153.9206445  0.00901 0.00148
2455153.9211884  0.00896 0.00148
2455153.9217323  0.00880 0.00148
2455153.9222878  0.00973 0.00148
2455153.9228318  0.00753 0.00148
2455153.9233873  0.00796 0.00148
2455153.9239312  0.00971 0.00148
2455153.9244752  0.00819 0.00148
2455153.9250191  0.00971 0.00148
2455153.9255630  0.01003 0.00148
2455153.9261185  0.00834 0.00148
2455153.9266625  0.00918 0.00148
2455153.9272064  0.01124 0.00148
2455153.9277504  0.00955 0.00148
2455153.9282943  0.01230 0.00148
2455153.9288498  0.01217 0.00148
2455153.9293937  0.00827 0.00148
2455153.9299492  0.01257 0.00148
2455153.9304932  0.01305 0.00148
2455153.9310371  0.01167 0.00148
2455153.9315811  0.01396 0.00148
2455153.9321250  0.01035 0.00148
2455153.9326689  0.00985 0.00148
2455153.9332129  0.01170 0.00148
2455153.9337684  0.01365 0.00148
2455153.9343123  0.01427 0.00148
2455153.9348678  0.01104 0.00148
2455153.9354118  0.01557 0.00148
2455153.9359557  0.01348 0.00148
2455153.9364996  0.01281 0.00148
2455153.9370436  0.01350 0.00148
2455153.9375991  0.01189 0.00148
2455153.9381430  0.01299 0.00148
2455153.9386870  0.01218 0.00148
2455153.9392425  0.01246 0.00148
2455153.9397864  0.01315 0.00148
2455153.9403303  0.01579 0.00148
2455153.9408743  0.01128 0.00148
2455153.9414298  0.01350 0.00148
