2455167.6918969  0.00350 0.00159
2455167.6923598  0.00593 0.00158
2455167.6927880  0.00345 0.00156
2455167.6932509  0.00184 0.00154
2455167.6936791  0.00151 0.00154
2455167.6941073  0.00180 0.00154
2455167.6945471  0.00160 0.00154
2455167.6949753  0.00525 0.00154
2455167.6954382  0.00381 0.00154
2455167.6958664  0.00684 0.00153
2455167.6962946  0.00237 0.00154
2455167.6967459  0.00518 0.00153
2455167.6971742  0.00539 0.00153
2455167.6976139  0.00422 0.00153
2455167.6980537  0.00404 0.00153
2455167.6984819  0.00656 0.00153
2455167.6989101  0.01764 0.00151
2455167.6993499  0.00458 0.00151
2455167.6998244  0.01328 0.00151
2455167.7002526  0.01344 0.00151
2455167.7006923  0.00735 0.00151
2455167.7033194  0.00915 0.00151
2455167.7037592  0.00970 0.00151
2455167.7042221  0.00685 0.00151
2455167.7046619  0.00565 0.00151
2455167.7050901  0.00713 0.00151
2455167.7055414  0.00546 0.00151
2455167.7059696  0.00607 0.00151
2455167.7064326  0.00888 0.00151
2455167.7068607  0.00860 0.00151
2455167.7073005  0.00786 0.00151
2455167.7077287  0.00981 0.00152
2455167.7081569  0.01018 0.00151
2455167.7086198  0.00791 0.00151
2455167.7090481  0.01211 0.00151
2455167.7094762  0.00916 0.00151
2455167.7099160  0.00588 0.00151
2455167.7103442  0.00981 0.00151
2455167.7107956  0.00991 0.00151
2455167.7112238  0.00947 0.00151
2455167.7116983  0.00963 0.00151
2455167.7121265  0.01321 0.00151
2455167.7125547  0.01057 0.00151
2455167.7129829  0.01353 0.00151
2455167.7134226  0.01188 0.00151
2455167.7138508  0.01424 0.00151
2455167.7142791  0.01373 0.00151
2455167.7147072  0.01343 0.00151
2455167.7151702  0.01190 0.00151
2455167.7155984  0.01056 0.00151
2455167.7160266  0.01239 0.00151
2455167.7164548  0.01485 0.00151
2455167.7168830  0.01350 0.00151
2455167.7173227  0.01461 0.00151
2455167.7177625  0.01584 0.00151
2455167.7181907  0.01280 0.00151
2455167.7186305  0.00836 0.00151
2455167.7190587  0.01128 0.00151
2455167.7195448  0.01342 0.00151
2455167.7199845  0.01392 0.00151
2455167.7204475  0.01269 0.00151
2455167.7208872  0.01085 0.00151
2455167.7213386  0.01593 0.00151
2455167.7217668  0.01855 0.00151
2455167.7221950  0.01066 0.00151
2455167.7226348  0.01274 0.00151
2455167.7230630  0.01361 0.00151
2455167.7234912  0.01628 0.00151
2455167.7239194  0.01683 0.00151
2455167.7243591  0.01623 0.00151
2455167.7252387  0.01946 0.00151
2455167.7256669  0.01059 0.00151
2455167.7261298  0.01309 0.00151
2455167.7266043  0.01075 0.00151
2455167.7270325  0.01298 0.00151
2455167.7274838  0.01534 0.00151
2455167.7279120  0.01594 0.00151
2455167.7283634  0.01320 0.00151
2455167.7287916  0.01358 0.00151
2455167.7292777  0.01152 0.00151
2455167.7297059  0.01112 0.00151
2455167.7301341  0.01546 0.00151
2455167.7305623  0.01721 0.00151
2455167.7309905  0.01350 0.00151
2455167.7314534  0.01898 0.00151
2455167.7318932  0.02271 0.00151
2455167.7323214  0.01791 0.00151
2455167.7336523  0.01674 0.00151
2455167.7345087  0.02450 0.00151
2455167.7349484  0.01770 0.00151
2455167.7353882  0.01008 0.00151
2455167.7358164  0.01739 0.00151
2455167.7362446  0.01655 0.00151
2455167.7366959  0.01617 0.00151
2455167.7371357  0.01836 0.00151
2455167.7384435  0.00997 0.00151
2455167.7392999  0.02153 0.00151
2455167.7419154  0.01654 0.00151
2455167.7432000  0.01651 0.00151
2455167.7436398  0.01956 0.00151
2455167.7445309  0.01441 0.00151
2455167.7449707  0.01630 0.00151
2455167.7454220  0.01623 0.00151
2455167.7458502  0.01652 0.00151
2455167.7462900  0.01489 0.00151
2455167.7467182  0.01953 0.00151
