hjd,phase,rzmag,e_rzmag,relative_flux,relative_flux_error,baseline_flux,normalized_flux,normalized_flux_error,model_flux,model_normalized_flux,residual_flux
2455153.9955687998,0.0150881874,0.0093500000,0.0014800000,0.9914253060,0.0013514419,0.9977496977,0.9936613443,0.0013544900,0.9928826869,0.9951220122,-0.0014606679
2455153.9961127001,0.0152854958,0.0072900000,0.0014800000,0.9933081527,0.0013540085,0.9977270764,0.9955710096,0.0013570931,0.9931350581,0.9953975207,0.0001734889
2455153.9966567000,0.0154828403,0.0081700000,0.0014800000,0.9925033927,0.0013529115,0.9977044508,0.9947869751,0.0013560243,0.9933870536,0.9956726692,-0.0008856941
2455153.9972005999,0.0156801485,0.0093400000,0.0014800000,0.9914344374,0.0013514544,0.9976818295,0.9937380917,0.0013545946,0.9936380191,0.9959467936,-0.0022087019
2455153.9977445998,0.0158774931,0.0053900000,0.0014800000,0.9950479287,0.0013563801,0.9976592039,0.9973825979,0.0013595625,0.9938874668,0.9962194133,0.0011631846
2455153.9983001002,0.0160790096,0.0092700000,0.0014800000,0.9914983596,0.0013515415,0.9976361001,0.9938477161,0.0013547440,0.9941399495,0.9964955653,-0.0026478492
2455153.9988440000,0.0162763178,0.0062700000,0.0014800000,0.9942417592,0.0013552811,0.9976134787,0.9966202145,0.0013585233,0.9943843334,0.9967631298,-0.0001429153
2455153.9993995000,0.0164778341,0.0103400000,0.0014800000,0.9905217129,0.0013502102,0.9975903749,0.9929142640,0.0013534716,0.9946303631,0.9970328384,-0.0041185744
2455153.9999433998,0.0166751423,0.0075500000,0.0014800000,0.9930703148,0.0013536843,0.9975677535,0.9954915957,0.0013569848,0.9948670723,0.9972927341,-0.0018011384
2455154.0004874002,0.0168724871,0.0069800000,0.0014800000,0.9935918031,0.0013543952,0.9975451280,0.9960369463,0.0013577282,0.9950989680,0.9975478202,-0.0015108739
2455154.0010313001,0.0170697953,0.0046300000,0.0014800000,0.9957446920,0.0013573298,0.9975225066,0.9982177699,0.0013607010,0.9953252133,0.9977972494,0.0004205205
2455154.0015868000,0.0172713116,0.0061700000,0.0014800000,0.9943333364,0.0013554060,0.9974994028,0.9968259967,0.0013588038,0.9955496688,0.9980453782,-0.0012193815
2455154.0021307999,0.0174686561,0.0065500000,0.0014800000,0.9939853877,0.0013549317,0.9974767773,0.9964997786,0.0013583591,0.9957621337,0.9982810190,-0.0017812405
2455154.0026747002,0.0176659645,0.0042100000,0.0014800000,0.9961299547,0.0013578550,0.9974541559,0.9986724190,0.0013613207,0.9959663740,0.9985084208,0.0001639982
2455154.0032186001,0.0178632727,0.0018700000,0.0014800000,0.9982791487,0.0013607846,0.9974315345,1.0008497969,0.0013642888,0.9961614362,0.9987266310,0.0021231658
2455154.0037742001,0.0180648254,0.0028900000,0.0014800000,0.9973417511,0.0013595068,0.9974084265,0.9999331513,0.0013630393,0.9963500821,0.9989389057,0.0009942456
2455154.0043180999,0.0182621336,0.0046400000,0.0014800000,0.9957355209,0.0013573173,0.9973858052,0.9983453902,0.0013608749,0.9965231238,0.9991350575,-0.0007896673
2455154.0048619998,0.0184594418,0.0015100000,0.0014800000,0.9986102053,0.0013612359,0.9973631838,1.0012503183,0.0013648347,0.9966832557,0.9993182743,0.0019320440
2455154.0054060002,0.0186567865,0.0049000000,0.0014800000,0.9954971018,0.0013569923,0.9973405583,0.9981516279,0.0013606108,0.9968288715,0.9994869488,-0.0013353209
2455154.0059499000,0.0188540948,0.0049200000,0.0014800000,0.9954787642,0.0013569673,0.9973179369,0.9981558813,0.0013606166,0.9969579315,0.9996390264,-0.0014831451
2455154.0065053999,0.0190556111,0.0043100000,0.0014800000,0.9960382120,0.0013577299,0.9972948331,0.9987399703,0.0013614128,0.9970700200,0.9997745771,-0.0010346068
2455154.0070492998,0.0192529193,0.0039900000,0.0014800000,0.9963318185,0.0013581302,0.9972722117,0.9990570345,0.0013618450,0.9971567493,0.9998842218,-0.0008271872
2455154.0075933002,0.0194502640,0.0039700000,0.0014800000,0.9963501717,0.0013581552,0.9972495862,0.9990981050,0.0013619010,0.9972143418,0.9999646585,-0.0008665535
2455154.0081372000,0.0196475722,0.0059700000,0.0014800000,0.9945165163,0.0013556557,0.9972269648,0.9972820144,0.0013594254,0.9972257878,0.9999988197,-0.0027168053
2455154.0086927000,0.0198490886,0.0026800000,0.0014800000,0.9975346727,0.0013597698,0.9972038610,1.0003317393,0.0013635826,0.9972038610,1.0000000000,0.0003317393
2455154.0092366999,0.0200464331,-0.0004100000,0.0014800000,1.0003776953,0.0013636452,0.9971812355,1.0032054953,0.0013674999,0.9971812355,1.0000000000,0.0032054953
2455154.0097806002,0.0202437415,-0.0010200000,0.0014800000,1.0009398961,0.0013644116,0.9971586141,1.0037920568,0.0013682994,0.9971586141,1.0000000000,0.0037920568
2455154.0103361001,0.0204452578,0.0035500000,0.0014800000,0.9967356687,0.0013586807,0.9971355102,0.9995990098,0.0013625838,0.9971355102,1.0000000000,-0.0004009902
2455154.0108800000,0.0206425660,0.0017400000,0.0014800000,0.9983986843,0.0013609476,0.9971128889,1.0012895183,0.0013648882,0.9971128889,1.0000000000,0.0012895183
2455154.0114239999,0.0208399106,0.0045300000,0.0014800000,0.9958364077,0.0013574549,0.9970902634,0.9987424853,0.0013614162,0.9970902634,1.0000000000,-0.0012575147
2455154.0119679002,0.0210372190,0.0022100000,0.0014800000,0.9979665850,0.0013603586,0.9970676420,1.0009015868,0.0013643594,0.9970676420,1.0000000000,0.0009015868
2455154.0125119002,0.0212345635,0.0059500000,0.0014800000,0.9945348361,0.0013556806,0.9970450164,0.9974823801,0.0013596985,0.9970450164,1.0000000000,-0.0025176199
2455154.0130558000,0.0214318717,0.0037100000,0.0014800000,0.9965887951,0.0013584805,0.9970223951,0.9995651051,0.0013625376,0.9970223951,1.0000000000,-0.0004348949
2455154.0135996998,0.0216291799,0.0030100000,0.0014800000,0.9972315269,0.0013593566,0.9969997737,1.0002324505,0.0013634472,0.9969997737,1.0000000000,0.0002324505
2455154.0141667998,0.0218349044,0.0029700000,0.0014800000,0.9972682669,0.0013594067,0.9969761874,1.0002929653,0.0013635297,0.9969761874,1.0000000000,0.0002929653
2455154.0147107001,0.0220322128,-0.0000300000,0.0014800000,1.0000276314,0.0013631680,0.9969535661,1.0030834589,0.0013673335,0.9969535661,1.0000000000,0.0030834589
2455154.0152547001,0.0222295573,0.0010600000,0.0014800000,0.9990241803,0.0013618002,0.9969309405,1.0020996839,0.0013659925,0.9969309405,1.0000000000,0.0020996839
2455154.0157985999,0.0224268655,0.0028200000,0.0014800000,0.9974060541,0.0013595945,0.9969083192,1.0004992786,0.0013638110,0.9969083192,1.0000000000,0.0004992786
2455154.0163425999,0.0226242101,0.0010400000,0.0014800000,0.9990425832,0.0013618253,0.9968856936,1.0021636278,0.0013660797,0.9968856936,1.0000000000,0.0021636278
2455154.0168865002,0.0228215185,0.0018400000,0.0014800000,0.9983067326,0.0013608222,0.9968630723,1.0014482032,0.0013651045,0.9968630723,1.0000000000,0.0014482032
2455154.0174304000,0.0230188267,0.0001400000,0.0014800000,0.9998710635,0.0013629546,0.9968404509,1.0030402184,0.0013672746,0.9968404509,1.0000000000,0.0030402184
