hjd,phase,rzmag,e_rzmag,relative_flux,relative_flux_error,baseline_flux,normalized_flux,normalized_flux_error,model_flux,model_normalized_flux,residual_flux
2455153.9266625000,-0.0099086565,0.0091800000,0.0014800000,0.9915805513,0.0013516536,1.0006155829,0.9909705268,0.0013508220,0.9900431216,0.9894340429,0.0015364839
2455153.9272063999,-0.0097113482,0.0112400000,0.0014800000,0.9897009793,0.0013490915,1.0005929615,0.9891144725,0.0013482920,0.9899556583,0.9893690005,-0.0002545281
2455153.9277503998,-0.0095140037,0.0095500000,0.0014800000,0.9912426955,0.0013511930,1.0005703360,0.9906776763,0.0013504228,0.9898819437,0.9893177002,0.0013599762
2455153.9282943001,-0.0093166953,0.0123000000,0.0014800000,0.9887352096,0.0013477750,1.0005477146,0.9881939614,0.0013470372,0.9898114733,0.9892696359,-0.0010756745
2455153.9288498000,-0.0091151790,0.0121700000,0.0014800000,0.9888536024,0.0013479364,1.0005246108,0.9883351111,0.0013472296,0.9897422912,0.9892233340,-0.0008882229
2455153.9293936999,-0.0089178708,0.0082700000,0.0014800000,0.9924119840,0.0013527869,1.0005019894,0.9919140536,0.0013521082,0.9896769552,0.9891803971,0.0027336565
2455153.9299491998,-0.0087163544,0.0125700000,0.0014800000,0.9884893623,0.0013474399,1.0004788856,0.9880162156,0.0013467949,0.9896124308,0.9891387464,-0.0011225309
2455153.9304932002,-0.0085190097,0.0130500000,0.0014800000,0.9880524514,0.0013468443,1.0004562601,0.9876018481,0.0013462301,0.9895512141,0.9890999273,-0.0014980792
2455153.9310371000,-0.0083217015,0.0116700000,0.0014800000,0.9893090912,0.0013485573,1.0004336387,0.9888802744,0.0013479727,0.9894918091,0.9890629132,-0.0001826388
2455153.9315811000,-0.0081243570,0.0139600000,0.0014800000,0.9872246711,0.0013457159,1.0004110132,0.9868190755,0.0013451631,0.9894340691,0.9890275657,-0.0022084902
2455153.9321249998,-0.0079270488,0.0103500000,0.0014800000,0.9905125899,0.0013501978,1.0003883918,0.9901280323,0.0013496736,0.9893779088,0.9889937917,0.0011342406
2455153.9326689001,-0.0077297404,0.0098500000,0.0014800000,0.9909688428,0.0013508197,1.0003657704,0.9906065083,0.0013503258,0.9893232254,0.9889614926,0.0016450157
2455153.9332129001,-0.0075323958,0.0117000000,0.0014800000,0.9892817559,0.0013485200,1.0003431449,0.9889424054,0.0013480574,0.9892699286,0.9889305822,0.0000118232
2455153.9337684000,-0.0073308795,0.0136500000,0.0014800000,0.9875065843,0.0013461002,1.0003200411,0.9871906427,0.0013456696,0.9892168724,0.9889003836,-0.0017097409
2455153.9343122998,-0.0071335713,0.0142700000,0.0014800000,0.9869428384,0.0013453318,1.0002974197,0.9866493894,0.0013449318,0.9891661977,0.9888720877,-0.0022226982
2455153.9348678002,-0.0069320548,0.0110400000,0.0014800000,0.9898833058,0.0013493400,1.0002743159,0.9896118395,0.0013489700,0.9891156834,0.9888444277,0.0007674118
2455153.9354118002,-0.0067347102,0.0155700000,0.0014800000,0.9857618352,0.0013437219,1.0002516903,0.9855137909,0.0013433838,0.9890673780,0.9888185019,-0.0033047110
2455153.9359557000,-0.0065374020,0.0134800000,0.0014800000,0.9876612160,0.0013463110,1.0002290690,0.9874350253,0.0013460027,0.9890201851,0.9887936831,-0.0013586578
2455153.9364995998,-0.0063400938,0.0128100000,0.0014800000,0.9882708827,0.0013471421,1.0002064476,0.9880668987,0.0013468640,0.9889740531,0.9887699239,-0.0007030252
2455153.9370435998,-0.0061427493,0.0135000000,0.0014800000,0.9876430228,0.0013462862,1.0001838221,0.9874615055,0.0013460388,0.9889289349,0.9887471813,-0.0012856758
2455153.9375991002,-0.0059412328,0.0118900000,0.0014800000,0.9891086502,0.0013482840,1.0001607182,0.9889497080,0.0013480674,0.9888838809,0.9887249747,0.0002247332
2455153.9381430000,-0.0057439245,0.0129900000,0.0014800000,0.9881070547,0.0013469187,1.0001380969,0.9879706190,0.0013467328,0.9888407310,0.9887041940,-0.0007335750
2455153.9386870000,-0.0055465800,0.0121800000,0.0014800000,0.9888444947,0.0013479240,1.0001154714,0.9887303247,0.0013477683,0.9887984960,0.9886843313,0.0000459934
2455153.9392424999,-0.0053450637,0.0124600000,0.0014800000,0.9885895150,0.0013475764,1.0000923675,0.9884982098,0.0013474519,0.9887562916,0.9886649711,-0.0001667613
2455153.9397864002,-0.0051477553,0.0131500000,0.0014800000,0.9879614526,0.0013467203,1.0000697461,0.9878925509,0.0013466263,0.9887158465,0.9886468921,-0.0007543412
2455153.9403303000,-0.0049504471,0.0157900000,0.0014800000,0.9855621130,0.0013434497,1.0000471248,0.9855156708,0.0013433863,0.9886762459,0.9886296569,-0.0031139861
2455153.9408743000,-0.0047531025,0.0112800000,0.0014800000,0.9896645181,0.0013490418,1.0000244993,0.9896402726,0.0013490087,0.9886374608,0.9886132405,0.0010270321
2455153.9414297999,-0.0045515862,0.0135000000,0.0014800000,0.9876430228,0.0013462862,1.0000013954,0.9876416446,0.0013462843,0.9885986835,0.9885973040,-0.0009556594
2455153.9419737002,-0.0043542778,0.0112400000,0.0014800000,0.9897009793,0.0013490915,0.9999787740,0.9897219871,0.0013491201,0.9885615070,0.9885824906,0.0011394965
2455153.9425177001,-0.0041569333,0.0136600000,0.0014800000,0.9874974890,0.0013460878,0.9999561485,0.9875407942,0.0013461469,0.9885250889,0.9885684391,-0.0010276449
2455153.9430616000,-0.0039596251,0.0124900000,0.0014800000,0.9885621996,0.0013475392,0.9999335272,0.9886279165,0.0013476287,0.9884894261,0.9885551382,0.0000727783
2455153.9436054998,-0.0037623168,0.0131800000,0.0014800000,0.9879341546,0.0013466831,0.9999109058,0.9880221816,0.0013468030,0.9884544968,0.9885425702,-0.0005203885
2455153.9441495002,-0.0035649721,0.0128400000,0.0014800000,0.9882435762,0.0013471048,0.9998882802,0.9883539948,0.0013472554,0.9884202804,0.9885307188,-0.0001767240
2455153.9446934001,-0.0033676639,0.0107700000,0.0014800000,0.9901294997,0.0013496756,0.9998656589,0.9902625327,0.0013498569,0.9883867768,0.9885195756,0.0017429571
2455153.9452605001,-0.0031619395,0.0120100000,0.0014800000,0.9889993360,0.0013481350,0.9998420726,0.9891555507,0.0013483480,0.9883525831,0.9885086958,0.0006468550
2455153.9458043999,-0.0029646313,0.0139700000,0.0014800000,0.9872155785,0.0013457035,0.9998194512,0.9873938512,0.0013459466,0.9883204857,0.9884989580,-0.0011051068
2455153.9463483999,-0.0027672867,0.0135900000,0.0014800000,0.9875611574,0.0013461746,0.9997968257,0.9877618452,0.0013464482,0.9882890549,0.9884898906,-0.0007280454
2455153.9468923002,-0.0025699783,0.0143900000,0.0014800000,0.9868337635,0.0013451831,0.9997742043,0.9870566366,0.0013454869,0.9882582929,0.9884814877,-0.0014248512
2455153.9474362000,-0.0023726701,0.0139000000,0.0014800000,0.9872792287,0.0013457903,0.9997515830,0.9875245466,0.0013461247,0.9882281853,0.9884737390,-0.0009491924
2455153.9479801999,-0.0021753256,0.0155800000,0.0014800000,0.9857527561,0.0013437095,0.9997289574,0.9860200095,0.0013440738,0.9881987188,0.9884666354,-0.0024466259
2455153.9485240998,-0.0019780174,0.0101500000,0.0014800000,0.9906950659,0.0013504465,0.9997063361,0.9909860827,0.0013508432,0.9881698972,0.9884601723,0.0025259104
2455153.9490796002,-0.0017765009,0.0133100000,0.0014800000,0.9878158719,0.0013465218,0.9996832322,0.9881288793,0.0013469485,0.9881411142,0.9884542246,-0.0003253453
2455153.9496351001,-0.0015749845,0.0116500000,0.0014800000,0.9893273151,0.0013485821,0.9996601284,0.9896636736,0.0013490406,0.9881129852,0.9884489310,0.0012147427
2455153.9501791000,-0.0013776400,0.0125900000,0.0014800000,0.9884711539,0.0013474151,0.9996375029,0.9888296017,0.0013479037,0.9880860673,0.9884443756,0.0003852262
2455153.9507229999,-0.0011803318,0.0127900000,0.0014800000,0.9882890875,0.0013471669,0.9996148815,0.9886698425,0.0013476859,0.9880597719,0.9884404386,0.0002294040
2455153.9512669002,-0.0009830234,0.0142900000,0.0014800000,0.9869246584,0.0013453070,0.9995922601,0.9873272311,0.0013458557,0.9880340900,0.9884371152,-0.0011098841
2455153.9518109001,-0.0007856788,0.0133600000,0.0015000000,0.9877703824,0.0013646552,0.9995696346,0.9881956676,0.0013652428,0.9880090139,0.9884344019,-0.0002387343
2455153.9523548000,-0.0005883706,0.0183600000,0.0014800000,0.9832319897,0.0013402734,0.9995470132,0.9836775826,0.0013408808,0.9879845503,0.9884322971,-0.0047547144
2455153.9529102999,-0.0003868543,0.0138600000,0.0015000000,0.9873156020,0.0013640269,0.9995239094,0.9877858776,0.0013646766,0.9879601902,0.9884307727,-0.0006448951
2455153.9534542002,-0.0001895459,0.0111900000,0.0015000000,0.9897465578,0.0013673854,0.9995012880,0.9902404025,0.0013680677,0.9879369493,0.9884298912,0.0018105114
2455153.9539982001,0.0000077986,0.0166200000,0.0014800000,0.9848089799,0.0013424230,0.9994786625,0.9853226655,0.0013431233,0.9879143078,0.9884296132,-0.0031069477
2455153.9545537001,0.0002093150,0.0134600000,0.0015000000,0.9876794096,0.0013645295,0.9994555587,0.9882174360,0.0013652728,0.9878918102,0.9884299523,-0.0002125163
2455153.9550975999,0.0004066232,0.0146800000,0.0014800000,0.9865702155,0.0013448238,0.9994329373,0.9871299801,0.0013455869,0.9878703921,0.9884308944,-0.0013009143
2455153.9556415998,0.0006039677,0.0115900000,0.0014800000,0.9893819888,0.0013486566,0.9994103118,0.9899657600,0.0013494524,0.9878495744,0.9884324414,0.0015333186
2455153.9561855001,0.0008012761,0.0140100000,0.0014800000,0.9871792088,0.0013456540,0.9993876904,0.9877840384,0.0013464784,0.9878293662,0.9884345942,-0.0006505558
2455153.9567410001,0.0010027924,0.0152200000,0.0014800000,0.9860796585,0.0013441551,0.9993645866,0.9867066252,0.0013450098,0.9878093542,0.9884374206,-0.0017307954
2455153.9572850000,0.0012001370,0.0162500000,0.0014800000,0.9851446428,0.0013428806,0.9993419611,0.9857933332,0.0013437648,0.9877903734,0.9884408060,-0.0026474728
2455153.9578288998,0.0013974452,0.0132200000,0.0014800000,0.9878977584,0.0013466334,0.9993193397,0.9885706392,0.0013475507,0.9877720097,0.9884448048,0.0001258344
2455153.9583728001,0.0015947536,0.0099700000,0.0014800000,0.9908593230,0.0013506704,0.9992967183,0.9915566666,0.0013516210,0.9877542631,0.9884494215,0.0031072451
2455153.9589168001,0.0017920981,0.0126200000,0.0014800000,0.9884438418,0.0013473778,0.9992740928,0.9891618815,0.0013483566,0.9877371352,0.9884546615,0.0007072200
2455153.9594606999,0.0019894063,0.0098300000,0.0014800000,0.9909870973,0.0013508446,0.9992514714,0.9917294352,0.0013518565,0.9877206371,0.9884605281,0.0032689071
2455153.9600046002,0.0021867147,0.0146200000,0.0014800000,0.9866247369,0.0013448981,0.9992288500,0.9873861597,0.0013459361,0.9877047716,0.9884670279,-0.0010808682
2455153.9605716998,0.0023924390,0.0148100000,0.0014800000,0.9864520962,0.0013446628,0.9992052638,0.9872366889,0.0013457323,0.9876889096,0.9884744861,-0.0012377972
2455153.9611157002,0.0025897837,0.0150900000,0.0014800000,0.9861977333,0.0013443161,0.9991826382,0.9870044730,0.0013454158,0.9876743539,0.9884823015,-0.0014778285
2455153.9616596000,0.0027870919,0.0165100000,0.0014800000,0.9849087596,0.0013425590,0.9991600169,0.9857367619,0.0013436877,0.9876604550,0.9884907705,-0.0027540087
